,run_number,chip_id,frontend,geoid,threshold,hv_voltage,psub_voltage,temperature,type,elog_link_s_curve,elog_link_run,checked,by,tdac_used
91,1537,W05R15,DCC,7,35.7,0,6,35.6,temp_scan,https://elog.belle2.org/elog/VTX+Upgrade+Testbeam+2024/239,https://elog.belle2.org/elog/VTX+Upgrade+Testbeam+2024/240,,,True
92,1538,W05R15,DCC,7,35,0,6,0,thr_scan,,https://elog.belle2.org/elog/VTX+Upgrade+Testbeam+2024/241,,,True
93,1539,W05R15,DCC,7,44,0,6,0,thr_scan,,https://elog.belle2.org/elog/VTX+Upgrade+Testbeam+2024/242,,,True
94,1540,W05R15,DCC,7,60,0,6,0,thr_scan,,https://elog.belle2.org/elog/VTX+Upgrade+Testbeam+2024/243,,,True
95,1541,W05R15,HVC,7,45,30,0,0,thr_scan,,https://elog.belle2.org/elog/VTX+Upgrade+Testbeam+2024/244,,,True
96,1542,W05R15,HVC,7,40,30,0,0,thr_scan,,https://elog.belle2.org/elog/VTX+Upgrade+Testbeam+2024/245,,,True
97,1543,W05R15,DCC,7,35.7,0,6,35.6,statistic,https://elog.belle2.org/elog/VTX+Upgrade+Testbeam+2024/239,https://elog.belle2.org/elog/VTX+Upgrade+Testbeam+2024/246,,,True
98,1544,W02R05,HVC,8,25.9,6,0,0,hv_scan,https://elog.belle2.org/elog/VTX+Upgrade+Testbeam+2024/259,https://elog.belle2.org/elog/VTX+Upgrade+Testbeam+2024/251,,,True
99,1545,W02R05,HVC,8,22.4,8,0,0,hv_scan,https://elog.belle2.org/elog/VTX+Upgrade+Testbeam+2024/259,https://elog.belle2.org/elog/VTX+Upgrade+Testbeam+2024/252,,,True
100,1546,W02R05,HVC,8,20.2,10,0,0,hv_scan,https://elog.belle2.org/elog/VTX+Upgrade+Testbeam+2024/259,https://elog.belle2.org/elog/VTX+Upgrade+Testbeam+2024/253,,,True
101,1547,W02R05,HVC,8,19.4,12,0,0,hv_scan,https://elog.belle2.org/elog/VTX+Upgrade+Testbeam+2024/259,https://elog.belle2.org/elog/VTX+Upgrade+Testbeam+2024/254,,,True
102,1548,W02R05,HVC,8,19.2,14,0,0,hv_scan,https://elog.belle2.org/elog/VTX+Upgrade+Testbeam+2024/259,https://elog.belle2.org/elog/VTX+Upgrade+Testbeam+2024/255,,,True
103,1549,W02R05,HVC,8,18.9,16,0,0,hv_scan,https://elog.belle2.org/elog/VTX+Upgrade+Testbeam+2024/259,https://elog.belle2.org/elog/VTX+Upgrade+Testbeam+2024/256,,,True
104,1550,W02R05,HVC,8,18.9,18,0,0,hv_scan,https://elog.belle2.org/elog/VTX+Upgrade+Testbeam+2024/259,https://elog.belle2.org/elog/VTX+Upgrade+Testbeam+2024/257,,,True
105,1551,W02R05,HVC,8,18.8,20,0,0,hv_scan,https://elog.belle2.org/elog/VTX+Upgrade+Testbeam+2024/259,https://elog.belle2.org/elog/VTX+Upgrade+Testbeam+2024/258,,,True
106,1552,W02R05,DCC,8,27.3,0,6,0,mask_test,https://elog.belle2.org/elog/VTX+Upgrade+Testbeam+2024/261,https://elog.belle2.org/elog/VTX+Upgrade+Testbeam+2024/263,,,True
107,1553,W02R05,DCC,8,27.3,0,6,0,mask_test,https://elog.belle2.org/elog/VTX+Upgrade+Testbeam+2024/261,https://elog.belle2.org/elog/VTX+Upgrade+Testbeam+2024/264,,,True
108,1554,W02R05,DCC,8,27.3,0,6,0,mask_test,https://elog.belle2.org/elog/VTX+Upgrade+Testbeam+2024/261,https://elog.belle2.org/elog/VTX+Upgrade+Testbeam+2024/265,,,True
109,1555,W02R05,DCC,8,27.3,0,6,0,statistic,https://elog.belle2.org/elog/VTX+Upgrade+Testbeam+2024/261,https://elog.belle2.org/elog/VTX+Upgrade+Testbeam+2024/266,,,True
110,1557,W08R06,DCC,9,33.9,0,20,0,thr_scan,https://elog.belle2.org/elog/VTX+Upgrade+Testbeam+2024/276,https://elog.belle2.org/elog/VTX+Upgrade+Testbeam+2024/270,,,False
111,1558,W08R06,DCC,9,33.9,0,20,34.748,thr_scan,https://elog.belle2.org/elog/VTX+Upgrade+Testbeam+2024/276,https://elog.belle2.org/elog/VTX+Upgrade+Testbeam+2024/272,,,False
112,1559,W08R06,DCC,9,38.7,0,20,34.522,thr_scan,https://elog.belle2.org/elog/VTX+Upgrade+Testbeam+2024/276,https://elog.belle2.org/elog/VTX+Upgrade+Testbeam+2024/273,,,True
113,1560,W08R06,DCC,9,40.7,0,20,34.5,thr_scan,https://elog.belle2.org/elog/VTX+Upgrade+Testbeam+2024/276,https://elog.belle2.org/elog/VTX+Upgrade+Testbeam+2024/274,,,True
114,1561,W08R06,DCC,9,45.1,0,20,35.204,thr_scan,https://elog.belle2.org/elog/VTX+Upgrade+Testbeam+2024/276,https://elog.belle2.org/elog/VTX+Upgrade+Testbeam+2024/275,,,True
115,1562,W08R06,DCC,9,50,0,20,0,thr_scan,https://elog.belle2.org/elog/VTX+Upgrade+Testbeam+2024/277,https://elog.belle2.org/elog/VTX+Upgrade+Testbeam+2024/278,,,True
116,1563,W08R06,DCC,9,60,0,20,33.945,thr_scan,https://elog.belle2.org/elog/VTX+Upgrade+Testbeam+2024/277,https://elog.belle2.org/elog/VTX+Upgrade+Testbeam+2024/279,,,True
117,1564,W08R06,HVC,10,22.3,30,0,0,,,https://elog.belle2.org/elog/VTX+Upgrade+Testbeam+2024/281,,,True
118,1565,W08R06,HVC,10,18.1,30,0,33.989,thr_scan,https://elog.belle2.org/elog/VTX+Upgrade+Testbeam+2024/282,https://elog.belle2.org/elog/VTX+Upgrade+Testbeam+2024/283,,,True
119,1566,W08R06,HVC,10,15.92,30,0,0,hv_scan,https://elog.belle2.org/elog/VTX+Upgrade+Testbeam+2024/286,https://elog.belle2.org/elog/VTX+Upgrade+Testbeam+2024/285,,,True
120,1567,W08R06,HVC,10,15.83,40,0,0,hv_scan,https://elog.belle2.org/elog/VTX+Upgrade+Testbeam+2024/286,https://elog.belle2.org/elog/VTX+Upgrade+Testbeam+2024/287,,,True
121,1568,W08R06,HVC,10,15.15,35,0,0,hv_scan,https://elog.belle2.org/elog/VTX+Upgrade+Testbeam+2024/286,https://elog.belle2.org/elog/VTX+Upgrade+Testbeam+2024/288,,,True
